Previous Name,New Name
Feature: Validation Manoeuvre PEEP - GUI Display And Representations For Children,Feature: PEEP GUI Display And Representations For Children
Feature: Validation Manoeuvre Sigh - General Rules For Adults,Feature: Sigh General Rules For Adults
"Feature: Validation Manoeuvre Inspiration Hold - Setable Parameter – Ranges, Increments And Tolerances For Neonates",Feature: Inspiration Hold Setable Parameter Ranges Increments And Tolerances For Neonates
Feature: Validation Manoeuvre PEEP - General Rules For Neonates,Feature: PEEP General Rules For Neonates
Feature: Validation Manoeuvre Bronchoscopy - Alarms Notifications For Adult,Feature: Bronchoscopy Alarms Notifications For Adult
Feature: Validation Manoeuvre Tests Running With Retry For Children,Feature: Manoeuvre Tests With Manual Breaths Triggered Several Times For Children
Feature: Validation Manoeuvre Sigh - Inspiration Sigh For Children,Feature: Sigh Inspiration Sigh For Children
Feature: Validation Manoeuvre PEEP - Phases Of The Manoeuvre For Neonates,Feature: PEEP Phases Of The Manoeuvre For Neonates
Feature: Validation Manoeuvre Inspiration Hold - General Rules For Neonates,Feature: Inspiration Hold General Rules For Neonates
Feature: Validation Manoeuvre Tests Running With Relay For Children,Feature: Manoeuvre Tests With Relay For Children
"Feature: Validation Manoeuvre Expiration Hold - Setable Parameter - Ranges, Increments And Tolerances For Neonates",Feature: Expiration Hold Setable Parameter Ranges Increments And Tolerances For Neonates
Feature: Setup Feature For Manoeuvres Tests On Adults,Feature: Setup Manoeuvres Tests For Adults
Feature: Child - Manoeuvres Interactive Tests (Except QLB Tests),Feature: Interactive Manoeuvre Tests Mandatory Breaths For Children
"Feature: Validation Manoeuvre Inspiration Hold - Setable Parameter - Default Values, Manufacturers Setup For Neonates",Feature: Inspiration Hold Setable Parameter Default Values For Neonates
Feature: Scenarios Manoeuvres Tests (Except SBT Tests) Are Carried On QuickLung Breather For Adults,Feature: Manoeuvres Tests (Without SBT Tests) With Spontaneous Breaths For Adults
Feature: Validation Manoeuvre PEEP - Phases Of The Manoeuvre For Children,Feature: PEEP Phases Of The Manoeuvre For Children
Feature: Validation Manoeuvre Sigh - Setable Parameter Ranges For Neonates,Feature: Sigh Setable Parameter Ranges For Neonates
Feature: Neonate - Manoeuvres Interactive Tests (Except QLB Tests),Feature: Interactive Manoeuvre Tests Mandatory Breaths For Neonates
Feature: Validation Manoeuvre Sigh - Setable Parameter Default For Children,Feature: Sigh Setable Parameter Default For Children
Feature: Validation Manoeuvre List Of Manoeuvre And Their Availability For Children,Feature: List Of Manoeuvre And Their Availability For Children
Feature: Validation Manoeuvre PEEP - GUI Display And Representations For Neonates,Feature: PEEP GUI Display And Representations For Neonates
