Previous Name,New Name
Feature: Validation Interactive Service,Feature: Interactive Service Tests
Feature: Validation Service - Validation PCB tests without tables battery I and battery II,Feature: PCB Tests Without 1st Battery And 2nd Battery Inserted
Feature: Validation Service - Power Manager for Both Battery I + Battery II Inserted,Feature: Power Manager With 1st Battery And 2nd Battery Inserted
Feature: Validation Service - SSD Monitor,Feature: SSD Monitor Tests
Feature: Validation Service - Security,Feature: Security Tests
Feature: Validation Service - Power Manager for Only Main Inserted,Feature: Power Manager Only Main Power Inserted
Feature: Validation Service - Power Manager for General Power Manager Data,Feature: Power Manager With General Power Manager Data Table
Feature: Validation Service - Main controller,Feature: Main Controller Tests
Feature: Validation Service - Calibration,Feature: Calibration Tests
Feature: Validation Service - Validation PCB with only Main Used,Feature: PCB Test Only Main Power
Feature: Validation Manoeuvre Bronchoscopy - GUI For Child,Feature: Bronchoscopy GUI For Child
Feature: Validation Manoeuvre Sigh - Setable Parameter Default For Neonates,Feature: Sigh Setable Parameter Default For Neonates
Feature: Validation Manoeuvre PEEP - Setable Parameter For Adults,Feature: PEEP Setable Parameter For Adults
Feature: Validation Manoeuvre Bronchoscopy - Alarms Notifications For Neonate,Feature: Bronchoscopy Alarms Notifications For Neonate
Feature: Validation Manoeuvre Expiration Hold - General Rules For Children,Feature: Expiration Hold General Rules For Children
Feature: Validation Manoeuvre PEEP - General Rules For Adults,Feature: PEEP General Rules For Adults
Feature: Validation Manoeuvre Sigh - Setable Parameter Ranges For Adults,Feature: Sigh Setable Parameter Ranges For Adults
Feature: Validation Manoeuvre Recruitment - General Rules For Neonates,Feature: Recruitment General Rules For Neonates
Feature: Validation Manoeuvre Sigh - Setable Parameter Default For Adults,Feature: Sigh Setable Parameter Default For Adults
Feature: Validation Manoeuvre General Rules Of Manoeuvre For Adults,Feature: General Rules Manoeuvre For Adults
Feature: Validation Manoeuvre Sigh - Expiration Sigh For Children,Feature: Sigh Expiration Sigh For Children
Feature: Validation Manoeuvre Manual Breath - General Rules For Neonates,Feature: Manual Breath General Rules For Neonates
Feature: Validation Manoeuvre PEEP - Phases Of The Manoeuvre For Adults,Feature: PEEP Phases Of The Manoeuvre For Adults
Feature: Validation Manoeuvre PEEP - General Rules For Children,Feature: PEEP General Rules For Children
Feature: Validation Manoeuvre PEEP - Setable Parameter For Children,Feature: PEEP Setable Parameter For Children
"Feature: Validation Manoeuvre Inspiration Hold - Setable Parameter - Default Values, Manufacturers Setup For Children",Feature: Inspiration Hold Setable Parameter Default Values For Children
Feature: Validation Manoeuvre Sigh - Inspiration Sigh For Adults,Feature: Sigh Inspiration Sigh For Adults
Feature: Validation Manoeuvre Recruitment - General Rules For Children,Feature: Recruitment General Rules For Children
Feature: Setup Feature For Manoeuvres Tests On Neonates,Feature: Setup Manoeuvres Tests For Neonates
"Feature: Validation Manoeuvre Expiration Hold - Setable Parameter - Ranges, Increments And Tolerances For Children",Feature: Expiration Hold Setable Parameter Ranges Increments And Tolerances For Children
"Feature: Validation Manoeuvre Inspiration Hold - Setable Parameter – Ranges, Increments And Tolerances For Children",Feature: Inspiration Hold Setable Parameter Ranges Increments And Tolerances For Children
Feature: Validation Manoeuvre PEEP - Safety Assessment For Adults,Feature: PEEP Safety Assessment For Adults
"Feature: Validation Manoeuvre Inspiration Hold - Setable Parameter – Ranges, Increments And Tolerances For Adults",Feature: Inspiration Hold Setable Parameter Ranges Increments And Tolerances For Adults
Feature: Validation Manoeuvre List Of Manoeuvre And Their Availability For Neonates,Feature: List Of Manoeuvre And Their Availability For Neonates
Feature: Validation Manoeuvre PEEP - GUI Display And Representations For Adults,Feature: PEEP GUI Display And Representations For Adults
Feature: Adult - Manoeuvres Interactive Tests (Except QLB Tests),Feature: Interactive Manoeuvre Tests Mandatory Breaths For Adults
Feature: Validation Manoeuvre Tests Running With Retry For Adults,Feature: Manoeuvre Tests Running With Manual Breaths Triggered Several Times For Adults
Feature: Validation Manoeuvre Bronchoscopy - Alarms Notifications For Child,Feature: Bronchoscopy Alarms Notifications For Child
Feature: Validation Manoeuvre PEEP - Safety Assessment For Children,Feature: PEEP Safety Assessment For Children
Feature: Validation Manoeuvre Inspiration Hold - General Rules For Children,Feature: Inspiration Hold General Rules For Children
Feature: Validation Manoeuvre Bronchoscopy Adults - General Rules,Feature: Bronchoscopy General Rules For Adults
Feature: Validation Manoeuvre General Rules Of Manoeuvre For Children,Feature: General Rules Manoeuvre For Children
Feature: Validation Manoeuvre Sigh - Setable Parameter Ranges For Children,Feature: Sigh Setable Parameter Ranges For Children
"Feature: Validation Manoeuvre Expiration Hold - Setable Parameter - Ranges, Increments And Tolerances For Adults",Feature: Expiration Hold Setable Parameter Ranges Increments And Tolerances For Adults
Feature: Validation Manoeuvre PEEP - Configuration For Adults,Feature: PEEP Configuration For Adults
"Feature: Validation Manoeuvre Expiration Hold - Setable Parameter - Default Values, Manufacturers Setup For Children",Feature: Expiration Hold Setable Parameter Default Values For Children
Feature: Validation Manoeuvre PEEP - Configuration For Children,Feature: PEEP Configuration For Children
Feature: Validation Manoeuvre Bronchoscopy - General Rules,Feature: Bronchoscopy General Rules For Adults
Feature: Validation Manoeuvre General Rules Of Manoeuvre For Neonates,Feature: General Rules Manoeuvre For Neonates
Feature: Validation Manoeuvre Bronchoscopy Children - General Rules,Feature: Bronchoscopy General Rules For Children
Feature: Scenarios Manoeuvres Tests (Except SBT Tests) Are Carried On QuickLung Breather For Children,Feature: Manoeuvres Tests (Without SBT Tests) With Spontaneous Breaths For Children
"Feature: Validation Manoeuvre Inspiration Hold - Setable Parameter - Default Values, Manufacturers Setup For Adults",Feature: Inspiration Hold Setable Parameter Default Values For Adults
Feature: Validation Manoeuvre Expiration Hold - General Rules For Adults,Feature: Expiration Hold General Rules For Adults
Feature: Validation Manoeuvre Sigh - Expiration Sigh For Neonates,Feature: Sigh Expiration Sigh For Neonates
"Feature: Validation Manoeuvre Expiration Hold - Setable Parameter - Default Values, Manufacturers Setup For Neonates",Feature: Expiration Hold Setable Parameter Default Values For Neonates
Feature: Validation Manoeuvre PEEP - Safety Assessment For Neonates,Feature: PEEP Safety Assessment For Neonates
Feature: Validation Manoeuvre PEEP - Configuration For Neonates,Feature: PEEP Configuration For Neonates
Feature: Validation Manoeuvre Expiration Hold - General Rules For Neonates,Feature: Expiration Hold General Rules For Neonates
Feature: Validation Manoeuvre Tests Running With Relay For Adults,Feature: Manoeuvre Tests With Relay For Adults
Feature: Validation Manoeuvre Recruitment - General Rules For Adults,Feature: Recruitment General Rules For Adults
Feature: Validation Manoeuvre Manual Breath - General Rules For Children,Feature: Manual Breath General Rules For Children
Feature: Validation Manoeuvre Manual Breath - General Rules For Adults,Feature: Manual Breath General Rules For Adults
Feature: Validation Manoeuvre Bronchoscopy - GUI For Adult,Feature: Bronchoscopy GUI For Adult
Feature: Validation Manoeuvre Sigh - General Rules For Children,Feature: Sigh General Rules For Children
Feature: Validation Manoeuvre PEEP - Setable Parameter For Neonates,Feature: PEEP Setable Parameter For Neonates
Feature: Validation Manoeuvre Sigh - Inspiration Sigh For Neonates,Feature: Sigh Inspiration Sigh For Neonates
Feature: Validation Manoeuvre Tests Running With Retry For Neonates,Feature: Manoeuvre Tests With Manual Breaths Triggered Several Times For Neonates
Feature: Setup Feature For Manoeuvres Tests On Children,Feature: Setup Manoeuvres Tests For Children
Feature: Validation Manoeuvre Sigh - General Rules For Neonates,Feature: Sigh General Rules For Neonates
Feature: Validation Manoeuvre List Of Manoeuvre And Their Availability For Adults,Feature: List Of Manoeuvre And Their Availability For Adults
"Feature: Validation Manoeuvre Expiration Hold - Setable Parameter - Default Values, Manufacturers Setup For Adults",Feature: Expiration Hold Setable Parameter Default Values For Adults
Feature: Validation Manoeuvre Sigh - Expiration Sigh For Adults,Feature: Sigh Expiration Sigh For Adults
Feature: Validation Manoeuvre Bronchoscopy - GUI For Neonate,Feature: Bronchoscopy GUI For Neonate
Feature: Validation Manoeuvre Inspiration Hold - General Rules For Adults,Feature: Inspiration Hold General Rules For Adults
Feature: Validation Manoeuvre PEEP - GUI Display And Representations For Children,Feature: PEEP GUI Display And Representations For Children
Feature: Validation Manoeuvre Sigh - General Rules For Adults,Feature: Sigh General Rules For Adults
"Feature: Validation Manoeuvre Inspiration Hold - Setable Parameter – Ranges, Increments And Tolerances For Neonates",Feature: Inspiration Hold Setable Parameter Ranges Increments And Tolerances For Neonates
Feature: Validation Manoeuvre PEEP - General Rules For Neonates,Feature: PEEP General Rules For Neonates
Feature: Validation Manoeuvre Bronchoscopy - Alarms Notifications For Adult,Feature: Bronchoscopy Alarms Notifications For Adult
Feature: Validation Manoeuvre Tests Running With Retry For Children,Feature: Manoeuvre Tests With Manual Breaths Triggered Several Times For Children
Feature: Validation Manoeuvre Sigh - Inspiration Sigh For Children,Feature: Sigh Inspiration Sigh For Children
Feature: Validation Manoeuvre PEEP - Phases Of The Manoeuvre For Neonates,Feature: PEEP Phases Of The Manoeuvre For Neonates
Feature: Validation Manoeuvre Inspiration Hold - General Rules For Neonates,Feature: Inspiration Hold General Rules For Neonates
Feature: Validation Manoeuvre Tests Running With Relay For Children,Feature: Manoeuvre Tests With Relay For Children
"Feature: Validation Manoeuvre Expiration Hold - Setable Parameter - Ranges, Increments And Tolerances For Neonates",Feature: Expiration Hold Setable Parameter Ranges Increments And Tolerances For Neonates
Feature: Setup Feature For Manoeuvres Tests On Adults,Feature: Setup Manoeuvres Tests For Adults
Feature: Child - Manoeuvres Interactive Tests (Except QLB Tests),Feature: Interactive Manoeuvre Tests Mandatory Breaths For Children
"Feature: Validation Manoeuvre Inspiration Hold - Setable Parameter - Default Values, Manufacturers Setup For Neonates",Feature: Inspiration Hold Setable Parameter Default Values For Neonates
Feature: Scenarios Manoeuvres Tests (Except SBT Tests) Are Carried On QuickLung Breather For Adults,Feature: Manoeuvres Tests (Without SBT Tests) With Spontaneous Breaths For Adults
Feature: Validation Manoeuvre PEEP - Phases Of The Manoeuvre For Children,Feature: PEEP Phases Of The Manoeuvre For Children
Feature: Validation Manoeuvre Sigh - Setable Parameter Ranges For Neonates,Feature: Sigh Setable Parameter Ranges For Neonates
Feature: Neonate - Manoeuvres Interactive Tests (Except QLB Tests),Feature: Interactive Manoeuvre Tests Mandatory Breaths For Neonates
Feature: Validation Manoeuvre Sigh - Setable Parameter Default For Children,Feature: Sigh Setable Parameter Default For Children
Feature: Validation Manoeuvre List Of Manoeuvre And Their Availability For Children,Feature: List Of Manoeuvre And Their Availability For Children
Feature: Validation Manoeuvre PEEP - GUI Display And Representations For Neonates,Feature: PEEP GUI Display And Representations For Neonates
Feature: Validation GUI Monitoring Elements - Graphs,Feature: Graphical Monitoring Elements Tests
Feature: Validation GUI - Power Up Test,Feature: Power Up Test
Feature: Validation GUI Overlay For Messages - Parameter And Limits - Neonates,Feature: Overlay Messages Of Parameter With Limits For Neonates
Feature: Validation GUI - Scroll Wheel,Feature: Scroll Wheel Tests
Feature: Validation SetUp Of Adult GUI From Subchapter 7.1 To Subchapter 7.11,Feature: Set Up GUI Tests For Adults
Feature: Validation GUI - Help Function,Feature: Help Function Tests
Feature: Validation GUI Only Containing INTERACTIVE,Feature: Interactive GUI Tests
"Feature: Validation GUI - Trend, Status","Feature: Trend, Status Tests"
Feature: Validation GUI - Alarm Messages,Feature: Alarm Messages Tests
"Feature: Validation GUI - Day Screen, Night Screen",Feature: Day Screen And Night Screen Tests
Feature: Validation GUI Overlay For Messages - Parameter And Limits - Children,Feature: Overlay Messages Of Parameter With Limits For Children
Feature: Validation GUI Monitoring Elements - Loops,Feature: Loops Monitoring Elements
Feature: Validation GUI - Alarm Warn Limits,Feature: Alarm Warning Limits Tests
Feature: Validation GUI - Side Menu Bar,Feature: Side Menu Bar Tests
Feature: Validation GUI - Navigation Bar,Feature: Navigation Bar Tests
Feature: Validation GUI - General Rules,Feature: General Rules Of GUI Tests
Feature: Validation GUI Monitoring Elements - Instant View Window,Feature: Instant View Window Monitoring Elements
Feature: Validation GUI - Workbench,Feature: General Workbench Tests
Feature: Validation GUI Overlay For Messages - Parameter And Limits - Adults,Feature: Overlay Messages Of Parameter With Limits For Adults
Feature: Validation GUI - Standby,Feature: Standby Tests
Feature: Validation GUI - System Test,Feature: System Tests
Feature: Validation Function - Leakage Compensation for Children,Feature: Leakage Compensation For Children
Feature: Validation Function - Display Brightness and Alarm LEDs for Adults,Feature: Display Brightness And Alarm LEDs For Adults
Feature: Validation Function - Tube Compensation for Adults,Feature: Tube Compensation For Adults
Feature: Validation Function - Cuffscout for Children,Feature: Cuffscout For Children
Feature: Validation Function - Display Brightness and Alarm LEDs for Children,Feature: Display Brightness And Alarm LEDs For Children
Feature: Validation Function - APD for Children,Feature: APD For Children
Feature: Validation Function - Alarm Loudness for Children,Feature: Alarm Loudness For Children
Feature: Validation Setup of Functions for Children,Feature: Setup Functions For Children
Feature: Validation Function - Nebulizer (Roll Out To Experiment) For Children,Feature: Nebulizer (Without Simulation) For Children
Feature: Validation Setup of Functions for Neonates,Feature: Setup Functions for Neonates
Feature: Validation Function - Nebulizer for Children,Feature: Nebulizer For Children
Feature: Validation Function - Tube Compensation for Children,Feature: Tube Compensation For Children
Feature: Validation Function - Nebulizer for Adults,Feature: Nebulizer For Adults
Feature: Validation Function - Hygiene Management for Adults,Feature: Hygiene Management For Adults
Feature: Validation Function - Alarm Loudness for Adults,Feature: Alarm Loudness For Adults
Feature: Validation Function - Nebulizer (Roll Out To Experiment) For Adults,Feature: Nebulizer (Without Simulation) For Adults
Feature: Validation Function - Cuffscout for Neonates,Feature: Cuffscout For Neonates
Feature: Validation Function - Display Brightness and Alarm LEDs for Neonates,Feature: Display Brightness And Alarm LEDs For Neonates
Feature: Validation Function - Alarm Loudness for Neonates,Feature: Alarm Loudness For Neonates
Feature: Validation Function - APD for Neonates,Feature: APD For Neonates
Feature: Validation Function - Interactive Tests for Children,Feature: Interactive Function Tests For Children
Feature: Validation Function - APD for Adults,Feature: APD For Adults
Feature: Validation Function - Cuffscout for Adults,Feature: Cuffscout For Adults
Feature: Validation Function - Interactive Tests for Adults,Feature: Interactive Function Tests For Adults
Feature: Validation Function - Leakage Compensation for Neonates,Feature: Leakage Compensation For Neonates
Feature: Validation Function - Tube Compensation for Neonates,Feature: Tube Compensation For Neonates
Feature: Validation Setup of Functions for Adults,Feature: Setup Functions For Adults
Feature: Validation Function - Interactive Tests for Neonates,Feature: Interactive Function Tests For Neonates
Feature: Validation Function - Nebulizer for Neonates,Feature: Nebulizer For Neonates
Feature: Validation Function - Nebulizer (Roll Out To Experiment) For Neonates,Feature: Nebulizer (Without Simulation) For Neonates
Feature: Validation Function - Hygiene Management for Neonates,Feature: Hygiene Management For Neonates
Feature: Validation Function - Leakage Compensation for Adults,Feature: Leakage Compensation For Adults
Feature: Validation Function - Hygiene Management for Children,Feature: Hygiene Management For Children
